"BehaviorSpace results (NetLogo 6.2.2)"
"Communication MASTER model.nlogo"
"Testing_Foraging_test_comm_w_err_HPC"
"06/09/2022 06:48:02:947 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-150","150","-150","150"
"[run number]","simulation-duration","record-exploration","number-of-ants","world-size","cluster-radius","number-of-clusters","resources-per-cluster","value-per-resource","handling-time","probability-activate-exploiters","probability-activate-explorers","probability-inactivate-exploiters","probability-inactivate-explorers","prob-starting-yellow","tortuosity","steplength","search-slowdown-factor","sense-radius","error-level","error-probability","open-probability","close-probability","prop-res-initially-closed","communication-mode","signal-strength","pheromone-deposited","pheromone-fade-rate","communication-time-cost","movement-algorithm","MODULE_INITIAL_RESOURCES","MODULE_RESOURCE_BEHAVIOR","MODULE_RESOURCE_QUALITY","MODULE_1ON1_COMMUNICATION","MODULE_INDIV_ERRORS","MODULE_SEARCH_PATH_ALGORITHM","[step]","total-available-resource-value","average-resource-quality","average-resource-distance","total-no-of-resources","proportion-patches-explored","timesteps-firstcollected","collected-resource-units","total-resources-discovered","timesteps-halfcollected","timesteps-allcollected","timesteps-firstresourceempty","average-number-of-resources-concurrently-exploited","total-agent-timesteps-spent-inactive","total-agent-timesteps-spent-searching","total-agent-timesteps-spent-collecting","proportion-agents-who-collected","unsuccessful-search-trips","average-search-distance","successful-search-trips","amount-collected-by-top-ants","average-exploited-resource-distance","average-exploited-resource-quality","total-acts-of-receiving-info","runtime","no-of-patches","oddness"
"23","2000","true","50","300","5","50","10","5","0","0.1","0.0037","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","2500","5","119.01635808464825","500","0.08325515170914229","8","187","42","-9","-9","57","6.606803401700851","43578","40861","11907","0.52","168","22.33631657568984","56","5.5","31.67499610513021","0","0","607.649","90601","0"
"22","2000","true","50","300","5","10","10","5","0","0.1","0.0037","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","500","5","111.78820114428561","100","0.10154413306696394","368","20","5","-9","-9","857","1.224112056028014","42597","50395","2307","0.06","187","24.215769496229843","5","0","61.90647412310818","0","0","734.812","90601","0"
"24","2000","true","50","300","5","100","10","5","0","0.1","0.0037","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","5000","5","113.21868344145906","1000","0.0774936258981689","4","276","63","-9","-9","16","9.940970485242621","40913","38297","17509","0.7","147","21.38094832292706","82","10","31.610366888804208","0","0","701.912","90601","0"
"25","2000","true","50","300","5","5","10","5","0","0.1","0.037","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","250","5","97.91542500385223","50","0.11685301486738557","878","10","2","-9","-9","1340","0.5597798899449725","8869","82317","1063","0.02","319","22.745739625746303","2","0","54.249150527205146","0","0","1104.691","90601","0"
"26","2000","true","50","300","5","10","10","5","0","0.1","0.037","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","500","5","125.63089730622823","100","0.11427026191763888","710","18","5","-9","-9","1093","0.8609304652326163","8669","82846","1606","0.06","310","22.406811956202905","5","0","46.97170245727806","0","0","1099.394","90601","0"
"27","2000","true","50","300","5","50","10","5","0","0.1","0.037","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","2500","5","117.47029501530363","500","0.10141168419774617","40","253","55","-9","-9","136","9.59079539769885","9613","66569","18288","0.68","242","22.455373289810986","75","9","35.60629388179701","0","0","1101.37","90601","0"
"28","2000","true","50","300","5","100","10","5","0","0.1","0.037","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","5000","5","117.4500731634374","1000","0.09349786426198387","3","263","56","-9","-9","7","10.530765382691346","10711","64194","19198","0.78","253","21.027990765838165","84","9","36.828390557446994","0","0","1134.065","90601","0"
"30","2000","true","50","300","5","10","10","5","0","0.1","0.6","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","500","5","135.9818554116603","100","0.11145572344676108","-9","0","0","-9","-9","-9","0","584","91310","0","0","337","22.28940267769035","0","0","300","0","0","1201.414","90601","0"
"29","2000","true","50","300","5","5","10","5","0","0.1","0.6","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","250","5","111.71061776259059","50","0.1268529044933279","-9","0","0","-9","-9","-9","0","628","91275","0","0","351","23.836749769745595","0","0","300","0","0","1212.44","90601","0"
"31","2000","true","50","300","5","50","10","5","0","0.1","0.6","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","2500","5","123.97320932352969","500","0.10189733005154468","140","79","18","-9","-9","492","3.7478739369684844","1405","84646","6882","0.26","324","21.15458505823892","22","1","42.540494850031386","0","0","1283.096","90601","0"
"33","2000","true","50","300","5","5","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","250","5","125.23411230134546","50","0.06039668436330725","-9","0","0","-9","-9","-9","0","82411","16133","0","0","58","26.618791669730594","0","0","300","0","0","222.26","90601","0"
"32","2000","true","50","300","5","100","10","5","0","0.1","0.6","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","5000","5","113.37275241078301","1000","0.1021291155726758","21","350","77","-9","-9","66","15.66983491745873","3747","60585","29731","0.8","242","22.572357136190586","100","11.5","42.40820842874422","0","0","1154.086","90601","0"
"34","2000","true","50","300","5","10","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","500","5","104.81525101975124","100","0.08535225880509045","75","50","10","-9","-9","123","0.64032016008004","57883","33843","4412","0.52","127","30.497531990924188","30","2","24.102559321546995","0","94","485.294","90601","7"
"37","2000","true","50","300","5","5","10","5","0","0.1","0.0037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","250","5","93.15821886466198","50","0.1172945110981115","1263","51","11","-9","-9","1410","1.4132066033016508","32917","49702","11789","0.54","170","35.055325146914555","37","2","71.6123891875397","0","87","848.422","90601","7"
"35","2000","true","50","300","5","50","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","2500","5","110.82226512759554","500","0.1046235692762773","47","404","89","-9","-9","90","11.096548274137069","6874","43566","42108","1","192","37.88202340781611","201","10","42.760732783172536","0","321","955.634","90601","15"
"36","2000","true","50","300","5","100","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","5000","5","120.22926666425684","1000","0.12134523901502191","51","355","79","-9","-9","96","8.520760380190096","6896","51778","34489","1","182","33.84243039775866","176","9","40.16816715987862","0","292","922.602","90601","10"
"38","2000","true","50","300","5","10","10","5","0","0.1","0.0037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","500","5","112.6389129590356","100","0.13284621582543238","496","101","21","-9","-9","638","2.9109554777388693","17887","53336","19858","0.88","180","49.602319947078776","62","3","61.254993470399064","0","159","855.4","90601","8"
"40","2000","true","50","300","5","100","10","5","0","0.1","0.0037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","5000","5","118.87866706652076","1000","0.10610258164920917","13","366","92","-9","-9","40","12.911955977988994","6227","41539","45568","1","150","42.515638490755336","189","9","55.118110393328685","0","271","961.934","90601","12"
"39","2000","true","50","300","5","50","10","5","0","0.1","0.0037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","2500","5","116.06981424336882","500","0.13764748733457688","1","312","71","-9","-9","1","8.827413706853427","5800","49814","35581","1","183","41.06695347758625","181","8","44.67490714767332","0","303","1061.622","90601","14"
"41","2000","true","50","300","5","5","10","5","0","0.1","0.037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","250","5","92.80298529594154","50","0.12689705411640048","252","63","15","-9","-9","344","1.6398199099549775","6810","76942","8332","0.58","280","25.75011394058844","38","2","47.33817024285086","0","70","1075.483","90601","10"
"42","2000","true","50","300","5","10","10","5","0","0.1","0.037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","500","5","119.8495226172886","100","0.14526329731459917","304","56","12","-9","-9","460","2.125562781390695","6529","71513","12567","0.62","281","35.00131125683286","28","2","70.48241387223162","0","83","1049.999","90601","4"
"43","2000","true","50","300","5","50","10","5","0","0.1","0.037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","2500","5","111.70769959363373","500","0.13059458504873014","70","286","64","-9","-9","145","7.5092546273136564","4848","59243","29089","0.94","189","32.679806849036865","132","8","41.839292000640896","0","224","1075.805","90601","15"
"44","2000","true","50","300","5","100","10","5","0","0.1","0.037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","5000","5","119.1077531963273","1000","0.12026357324974338","70","342","77","-9","-9","126","8.795897948974487","5119","54177","33458","1","206","33.69033350915285","170","9","40.560588037022484","0","260","1101.446","90601","17"
"45","2000","true","50","300","5","5","10","5","0","0.1","0.6","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","250","5","126.58096245346081","50","0.11185307005441442","534","50","10","-9","-9","795","1.5307653826913457","1138","85320","5651","0.34","325","23.217948649057114","20","1","41.76801617191511","0","46","1141.57","90601","13"
"46","2000","true","50","300","5","10","10","5","0","0.1","0.6","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","500","5","115.8494583328316","100","0.13359675941766647","163","84","21","-9","-9","493","3.4062031015507754","1171","80251","11032","0.4","296","25.44235617064061","30","2","60.411072582336395","0","33","1120.196","90601","17"
"49","2000","true","50","300","5","5","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","250","5","112.25616947832663","50","0.09392832308694164","1178","50","10","-9","-9","1320","1.4422211105552776","50259","31724","12823","0.68","105","53.995380161368715","34","2","66.62921575962622","0","109","511.484","90601","7"
"50","2000","true","50","300","5","10","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.5","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","500","5","99.1522613355201","100","0.11376254125230406","64","100","20","-9","-9","96","2.5987993996998497","33665","41582","17888","0.92","142","46.66041138247558","51","3","51.15868171794506","0","172","675.284","90601","13"
"47","2000","true","50","300","5","50","10","5","0","0.1","0.6","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","direct","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","2500","5","113.65779993087075","500","0.12219511925916933","32","298","67","-9","-9","117","7.117558779389695","2867","68344","22044","0.96","259","26.34261967893502","151","9","33.411841211708904","0","152","1140.897","90601","33"
